Länder,Sportart,event,Medallien,"Name Athlet",Geschlecht
EST,"Art Competitions","Art Competitions Mixed Sculpturing, Statues",,"Arvi Aavik",M
ESP,"Art Competitions","Art Competitions Mixed Sculpturing, Unknown Event",,"Nstor Abad Sanjun",M
ESP,"Art Competitions","Art Competitions Mixed Sculpturing, Unknown Event",,"Nstor Abad Sanjun",M
ESP,"Art Competitions","Art Competitions Mixed Sculpturing, Unknown Event",,"Nstor Abad Sanjun",M
ESP,"Art Competitions","Art Competitions Mixed Sculpturing, Unknown Event",,"Nstor Abad Sanjun",M
ESP,"Art Competitions","Art Competitions Mixed Sculpturing, Unknown Event",,"Nstor Abad Sanjun",M
ESP,"Art Competitions","Art Competitions Mixed Sculpturing, Unknown Event",,"Nstor Abad Sanjun",M
FRA,"Art Competitions","Art Competitions Mixed Unknown Event",,"Patrick Abada",M
EGY,Athletics,"Athletics Men's 1,500 metres",,"Talaat Abada",M
IRI,Athletics,"Athletics Men's 1,600 metres Medley Relay",,"Mohamed Jamshid Abadi",M
ESP,Athletics,"Athletics Men's 10 kilometres Walk",,"Antonio Abadia Beci",M
FRA,Athletics,"Athletics Men's 10 mile Walk",,"Ren Abadie",M
BUL,Athletics,"Athletics Men's 10,000 metres",,"Borislav Abadzhiev",M
BUL,Athletics,"Athletics Men's 100 metres",,"Georgi Abadzhiev",M
BUL,Athletics,"Athletics Men's 100 metres",,"Georgi Abadzhiev",M
BUL,Athletics,"Athletics Men's 110 metres Hurdles",,"Ivan Nikolov Abadzhiev",M
BUL,Athletics,"Athletics Men's 110 metres Hurdles",,"Ivan Nikolov Abadzhiev",M
BUL,Athletics,"Athletics Men's 2,590 metres Steeplechase",,"Mikhail Abadzhiev",M
BUL,Athletics,"Athletics Men's 20 kilometres Walk",,"Stefan Abadzhiev",M
CHA,Athletics,"Athletics Men's 3 mile, Team",,"M'Bairo Abakar",M
SUD,Athletics,"Athletics Men's 3,000 metres Walk",,"Mohamed Abakkar",M
RUS,Athletics,"Athletics Men's 3,000 metres, Team",,"Mariya Vasilyevna Abakumova (-Tarabina)",F
ARG,Athletics,"Athletics Men's 3,200 metres Steeplechase",,"Pablo Martn Abal",M
ARG,Athletics,"Athletics Men's 3,200 metres Steeplechase",,"Pablo Martn Abal",M
ESP,Athletics,"Athletics Men's 3,500 metres Walk",,"Tamara Abalde Daz",F
CUB,Athletics,"Athletics Men's 4 mile, Team",,"Jess Iory Aball Martnez",M
CUB,Athletics,"Athletics Men's 4 x 100 metres Relay",,"Juan Antonio Aball Delgado",M
CUB,Athletics,"Athletics Men's 4 x 100 metres Relay",,"Juan Antonio Aball Delgado",M
BLR,Athletics,"Athletics Men's 4 x 400 metres Relay",,"Aleksey Aleksandrovich Abalmasov",M
ARG,Athletics,"Athletics Men's 400 metres Hurdles",,"Mara Laura Abalo",F
GRE,Athletics,"Athletics Men's 5 mile",,"Giorgos Abalof",M
CMR,Athletics,"Athletics Men's 50 kilometres Walk",,"Antoine Abang",M
TUR,Athletics,"Athletics Men's 56-pound Weight Throw",,"Salim Abanoz",M
CHI,Athletics,"Athletics Men's 60 metres",,"Carlos Abarca Gonzlez",M
GRE,Athletics,"Athletics Men's All-Around Championship",,"Georgios Abaris",M
