Länder,Sportart,event,Medallien,"Name Athlet",Geschlecht
ETH,Shooting,"Shooting Men's Air Pistol, 10 metres",,"Biruk Abebe",M
ETH,Shooting,"Shooting Men's Air Pistol, 10 metres",,"Biruk Abebe",M
ALG,Shooting,"Shooting Men's Air Rifle, 10 metres",,"Benaissa Abed",M
EGY,Shooting,"Shooting Men's Double Trap",,"Soha Abed Elaal",F
IRI,Shooting,"Shooting Men's Dueling Pistol, 30 metres",,"Mojtaba Abedini Shormasti",M
IRI,Shooting,"Shooting Men's Dueling Pistol, 30 metres",,"Mojtaba Abedini Shormasti",M
CMR,Shooting,"Shooting Men's Dueling Pistol, 30 metres, Team",,"Thophile Abega Mbida",M
SUI,Shooting,"Shooting Men's Free Pistol, 50 metres",,"Max "Xam" Abegglen",M
BRA,Shooting,"Shooting Men's Free Pistol, 50 metres, Team",,"Alexandre Abeid",M
BRA,Shooting,"Shooting Men's Free Pistol, 50 metres, Team",,"Alexandre Abeid",M
ESP,Shooting,"Shooting Men's Free Pistol, 50 yards",,"Sonia Abejn Esteban",F
BRA,Shooting,"Shooting Men's Free Pistol, 50 yards, Team",,"Abel Carlos da Silva Braga",M
GER,Shooting,"Shooting Men's Free Rifle, 1,000 Yards",,"Adolf Gaston Abel",M
GER,Shooting,"Shooting Men's Free Rifle, 1,000 Yards",,"Adolf Gaston Abel",M
USA,Shooting,"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team",,"Brooke Abel",F
GDR,Shooting,"Shooting Men's Military Pistol, 30 metres",,"Irene Abel",F
GDR,Shooting,"Shooting Men's Military Pistol, 30 metres",,"Irene Abel",F
GDR,Shooting,"Shooting Men's Military Pistol, 30 metres",,"Irene Abel",F
GDR,Shooting,"Shooting Men's Military Pistol, 30 metres",,"Irene Abel",F
GDR,Shooting,"Shooting Men's Military Pistol, 30 metres",,"Irene Abel",F
CAN,Shooting,"Shooting Men's Military Pistol, Team",,"Jennifer Abel",F
CAN,Shooting,"Shooting Men's Military Pistol, Team",,"Jennifer Abel",F
CAN,Shooting,"Shooting Men's Military Pistol, Team",,"Jennifer Abel",F
CAN,Shooting,"Shooting Men's Military Pistol, Team",,"Jennifer Abel",F
GER,Shooting,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",,"Katja Abel",F
GER,Shooting,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",,"Katja Abel",F
GER,Shooting,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",,"Katja Abel",F
GER,Shooting,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",,"Katja Abel",F
GER,Shooting,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",,"Katja Abel",F
ESP,Shooting,"Shooting Men's Military Rifle, 200/500/600/800/900/1,000 Yards, Team",,"Mara Abel Diguez",F
ESP,Shooting,"Shooting Men's Military Rifle, 200/500/600/800/900/1,000 Yards, Team",,"Mara Abel Diguez",F
MON,Shooting,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",,"Roger Abel",M
MON,Shooting,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",,"Roger Abel",M
MON,Shooting,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",,"Roger Abel",M
MON,Shooting,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",,"Roger Abel",M
MON,Shooting,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",,"Roger Abel",M
MON,Shooting,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",,"Roger Abel",M
CUB,Shooting,"Shooting Men's Military Rifle, Prone, 300 metres",,"Yaritza Abel Rojas",F
GER,Shooting,"Shooting Men's Military Rifle, Prone, 600 metres",,"Arthur Abele",M
GER,Shooting,"Shooting Men's Military Rifle, Prone, 600 metres",,"Arthur Abele",M
ISR,Shooting,"Shooting Men's Military Rifle, Prone, 600 metres, Team",,"Ruth Abeles",F
ISR,Shooting,"Shooting Men's Military Rifle, Prone, 600 metres, Team",,"Ruth Abeles",F
ISR,Shooting,"Shooting Men's Military Rifle, Prone, 600 metres, Team",,"Ruth Abeles",F
ISR,Shooting,"Shooting Men's Military Rifle, Prone, 600 metres, Team",,"Ruth Abeles",F
ISR,Shooting,"Shooting Men's Military Rifle, Prone, 600 metres, Team",,"Ruth Abeles",F
MEX,Shooting,"Shooting Men's Military Rifle, Standing, 300 metres, Team",,"Jos Javier Abella Fanjul",M
URU,Shooting,"Shooting Men's Military Rifle, Three Positions, 300 metres",,"Ramn Neptuno Abella Caside",M
ESP,Shooting,"Shooting Men's Running Target, 10 metres",,"Alfonso Abelln Lpez",M
ESP,Shooting,"Shooting Men's Running Target, 50 metres",,"Juan Luis Abelln Pallahi",M
CMR,Shooting,"Shooting Men's Running Target, Double Shot",,"Edwige Marie Abna Fouda",F
ETH,Shooting,"Shooting Men's Running Target, Single And Double Shot",,"Tesfaye Abera Dibaba",M
ARG,Shooting,"Shooting Men's Running Target, Single Shot",,"Hugo Ral Aberastegui",M
ARG,Shooting,"Shooting Men's Running Target, Single Shot",,"Hugo Ral Aberastegui",M
ARG,Shooting,"Shooting Men's Running Target, Single Shot",,"Hugo Ral Aberastegui",M
SWE,Shooting,"Shooting Men's Running Target, Single Shot, Team",,"Arvid berg",M
SWE,Shooting,"Shooting Men's Small-Bore Rifle, 50 and 100 yards, Team",,"Sara Helena berg",F
FIN,Shooting,"Shooting Men's Small-Bore Rifle, Any Position, 50 metres",,"Karl Konrad berg",M
SWE,Shooting,"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 metres",,"Majken berg",F
SWE,Shooting,"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 metres, Team",,"Olof Viktor "Olle" berg",M
MAR,Shooting,"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 yards",,"Mohamed Aberhoune",M
RSA,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",,"Moira Abernethy (-Ford)",F
ALG,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres, Team",,"Salim Abes",M
ITA,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",,"Pasqualino Abeti",M
TUR,Shooting,"Shooting Men's Trap",,"Elvan Abeylegesse",F
TUR,Shooting,"Shooting Men's Trap",,"Elvan Abeylegesse",F
TUR,Shooting,"Shooting Men's Trap",,"Elvan Abeylegesse",F
SRI,Shooting,"Shooting Men's Trap, Team",,"Ruwani Abeymanne",F
SRI,Shooting,"Shooting Men's Trap, Team",,"Ruwani Abeymanne",F
SRI,Shooting,"Shooting Men's Unknown Event",,"Matthew Duncan Abeysinghe",M
ARM,Shooting,"Shooting Mixed Free Pistol, 50 metres",,"Narek Abgaryan",M
CIV,Shooting,"Shooting Mixed Free Rifle, Three Positions, 300 metres",,"Koutoua Francis Abia",M
CIV,Shooting,"Shooting Mixed Free Rifle, Three Positions, 300 metres",,"Koutoua Francis Abia",M
CIV,Shooting,"Shooting Mixed Free Rifle, Three Positions, 300 metres",,"Koutoua Francis Abia",M
CIV,Shooting,"Shooting Mixed Free Rifle, Three Positions, 300 metres",,"Koutoua Francis Abia",M
ESP,Shooting,"Shooting Mixed Rapid-Fire Pistol, 25 metres",,"Pablo Abin Vicen",M
ESP,Shooting,"Shooting Mixed Rapid-Fire Pistol, 25 metres",,"Pablo Abin Vicen",M
ESP,Shooting,"Shooting Mixed Rapid-Fire Pistol, 25 metres",,"Pablo Abin Vicen",M
FRA,Shooting,"Shooting Mixed Running Target, 50 metres",,"David Abibssira",M
GDR,Shooting,"Shooting Mixed Skeet",,"Silke Abicht",F
TUN,Shooting,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",,"Haithem Abid",M
IRQ,Shooting,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",,"Younis Abid Sadkhan",M
NGR,Shooting,"Shooting Mixed Trap",,"Jaiye Abidoye",M
NGR,Shooting,"Shooting Mixed Trap",,"Jaiye Abidoye",M
KAZ,Shooting,"Shooting Women's Air Pistol, 10 metres",,"Sagat Abikeyeva",F
JPN,Shooting,"Shooting Women's Air Rifle, 10 metres",,"Mitsuhiro Abiko",M
JPN,Shooting,"Shooting Women's Double Trap",,"Tomomi Abiko",F
KEN,Shooting,"Shooting Women's Skeet",,"Catherine "Kate" Abilla Awino",F
BUL,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",,"Ismail Abilov (-Nizamolu)",M
FRA,Shooting,"Shooting Women's Sporting Pistol, 25 metres",,"Camille Anne Franoise Abily",F
FRA,Shooting,"Shooting Women's Sporting Pistol, 25 metres",,"Camille Anne Franoise Abily",F
NGR,Shooting,"Shooting Women's Trap",,"Endurance Abinuwa",F
NGR,Softball,"Softball Women's Softball",,"Bode Abiodun",M
BEN,Swimming,"Swimming Men's 1,500 metres Freestyle",,"Firmin Abissi",M
BEN,Swimming,"Swimming Men's 1,500 metres Freestyle",,"Firmin Abissi",M
RUS,Swimming,"Swimming Men's 100 metres Backstroke",,"Inga Eduardovna Abitova",F
AZE,Swimming,"Swimming Men's 100 metres Breaststroke",,"Ceyhun Abiyev",M
BRA,Swimming,"Swimming Men's 100 metres Butterfly",,"Diana Monteiro Abla",F
GBR,Swimming,"Swimming Men's 100 Yard Backstroke",,"Leslie Ablett",M
GBR,Swimming,"Swimming Men's 100 Yard Backstroke",,"Leslie Ablett",M
RUS,Swimming,"Swimming Men's 200 metres Backstroke",,"Denis Mikhaylovich Ablyazin",M
RUS,Swimming,"Swimming Men's 200 metres Backstroke",,"Denis Mikhaylovich Ablyazin",M
RUS,Swimming,"Swimming Men's 200 metres Backstroke",,"Denis Mikhaylovich Ablyazin",M
RUS,Swimming,"Swimming Men's 200 metres Backstroke",,"Denis Mikhaylovich Ablyazin",M
RUS,Swimming,"Swimming Men's 200 metres Backstroke",,"Denis Mikhaylovich Ablyazin",M
NED,Swimming,"Swimming Men's 200 metres Breaststroke",,"Karin Abma",F
CMR,Swimming,"Swimming Men's 200 metres Butterfly",,"Thorine Christelle Aboa Mbeza",F
GHA,Swimming,"Swimming Men's 200 metres Freestyle",,"Felix Ahmed Aboagye",M
NGR,Swimming,"Swimming Men's 200 metres Individual Medley",,"Bukola Dammy Abogunloko",F
URS,Swimming,"Swimming Men's 220 yard Freestyle",,"Viktor Andreyevich Aboimov",M
URS,Swimming,"Swimming Men's 220 yard Freestyle",,"Viktor Andreyevich Aboimov",M
SOM,Swimming,"Swimming Men's 4 x 100 metres Freestyle Relay",,"Mohamed Aboker",M
SOM,Swimming,"Swimming Men's 4 x 100 metres Freestyle Relay",,"Mohamed Aboker",M
MDV,Swimming,"Swimming Men's 4 x 50 Yard Freestyle Relay",,"Abdul Razzak Aboobakur",M
AUS,Swimming,"Swimming Men's 400 metres Breaststroke",,"Matthew "Matt" Abood",M
CMR,Swimming,"Swimming Men's 400 metres Individual Medley",,"Jean-Pierre Abossolo-Ze",M
CMR,Swimming,"Swimming Men's 400 metres Individual Medley",,"Jean-Pierre Abossolo-Ze",M
EGY,Swimming,"Swimming Men's 440 Yard Breaststroke",,"Abdelhalim Muhammad Abou",M
LIB,Swimming,"Swimming Men's 440 yard Freestyle",,"Tarek Abou Al Dahab",M
LIB,Swimming,"Swimming Men's 440 yard Freestyle",,"Tarek Abou Al Dahab",M
LIB,Swimming,"Swimming Men's 440 yard Freestyle",,"Tarek Abou Al Dahab",M
LIB,Swimming,"Swimming Men's 440 yard Freestyle",,"Tarek Abou Al Dahab",M
LIB,Swimming,"Swimming Men's 440 yard Freestyle",,"Tarek Abou Al Dahab",M
LIB,Swimming,"Swimming Men's 440 yard Freestyle",,"Tarek Abou Al Dahab",M
LIB,Swimming,"Swimming Men's 50 metres Freestyle",,"Bachir Hani Abou Assi",M
EGY,Swimming,"Swimming Men's 50 yard Freestyle",,"Ashraf Abou El-Hassan",M
EGY,Swimming,"Swimming Men's 50 yard Freestyle",,"Ashraf Abou El-Hassan",M
EGY,Swimming,"Swimming Men's 50 yard Freestyle",,"Ashraf Abou El-Hassan",M
EGY,Swimming,"Swimming Men's 880 yard Freestyle",,"Galal El-Din Abdel Meguid Abou El-Kheir",M
EGY,Swimming,"Swimming Men's One Mile Freestyle",,"Magdy Abou El-Magd",M
EGY,Swimming,"Swimming Men's Plunge For Distance",,"Essameldin Abou El-Nein",M
EGY,Swimming,"Swimming Women's 10 kilometres Open Water",,"Abdel Khlik Abou El-Yazi",M
EGY,Swimming,"Swimming Women's 100 metres Backstroke",,"Mohamed Moustafa Abou Elea",M
EGY,Swimming,"Swimming Women's 100 metres Breaststroke",,"Mahmoud Abou Elelaa",M
EGY,Swimming,"Swimming Women's 100 metres Butterfly",,"Mohammed Tawfiq Abou Habaga",M
SYR,Swimming,"Swimming Women's 100 metres Freestyle",,"Zaid Abou Hamed",M
EGY,Swimming,"Swimming Women's 200 metres Backstroke",,"Youssef Kamel Mohamed Abou Ouf",M
EGY,Swimming,"Swimming Women's 200 metres Backstroke",,"Youssef Kamel Mohamed Abou Ouf",M
EGY,Swimming,"Swimming Women's 200 metres Breaststroke",,"Gaber Mooti Abou Zeid",M
EGY,Swimming,"Swimming Women's 200 metres Breaststroke",,"Gaber Mooti Abou Zeid",M
EGY,Swimming,"Swimming Women's 200 metres Butterfly",,"Taher Abou Zeid Sayid Amer",M
EGY,Swimming,"Swimming Women's 200 metres Freestyle",,"Ahmed Farid Abou-Shadi",M
EGY,Swimming,"Swimming Women's 200 metres Freestyle",,"Ahmed Farid Abou-Shadi",M
EGY,Swimming,"Swimming Women's 200 metres Freestyle",,"Ahmed Farid Abou-Shadi",M
EGY,Swimming,"Swimming Women's 200 metres Freestyle",,"Ahmed Farid Abou-Shadi",M
UAR,Swimming,"Swimming Women's 200 metres Individual Medley",,"Abdel Fattah Abou-Shanab",M
EGY,Swimming,"Swimming Women's 200 metres Individual Medley",,"Abdel Fattah Abou-Shanab",M
IRQ,Swimming,"Swimming Women's 300 metres Freestyle",,"Sadoon Mohamed Aboub",M
MAR,Swimming,"Swimming Women's 4 x 100 metres Freestyle Relay",,"Zakaria Aboub",M
NIG,Swimming,"Swimming Women's 4 x 100 metres Medley Relay",,"Inni Aboubacar",M
QAT,Swimming,"Swimming Women's 4 x 200 metres Freestyle Relay",,"Ibrahim Mohamedin Aboubaker",M
QAT,Swimming,"Swimming Women's 4 x 200 metres Freestyle Relay",,"Ibrahim Mohamedin Aboubaker",M
IRQ,Swimming,"Swimming Women's 400 metres Freestyle",,"Ahmed Ghmin Aboud",M
LBA,Swimming,"Swimming Women's 400 metres Individual Medley",,"Fathi Khalifa Aboud",M
ALG,Swimming,"Swimming Women's 50 metres Freestyle",,"Kamel Aboud",M
IRQ,Swimming,"Swimming Women's 800 metres Freestyle",,"Marwan Suhail Aboud",M
ALG,"Synchronized Swimming","Synchronized Swimming Women's Duet",,"Rabah Aboud",M
EGY,"Synchronized Swimming","Synchronized Swimming Women's Solo",,"Mamdouh Taha Al-Husseini Abouebaid",M
EGY,"Synchronized Swimming","Synchronized Swimming Women's Team",,"Alaaeldin Ahmad El-Sayyid Abouelkassem",M
EGY,"Synchronized Swimming","Synchronized Swimming Women's Team",,"Alaaeldin Ahmad El-Sayyid Abouelkassem",M
EGY,"Synchronized Swimming","Synchronized Swimming Women's Team",,"Alaaeldin Ahmad El-Sayyid Abouelkassem",M
EGY,"Table Tennis","Table Tennis Men's Doubles",,"Haysam Farouk Abouelw",M
EGY,"Table Tennis","Table Tennis Men's Singles",,"Waguih Rauf Aboul Seoud",M
EGY,"Table Tennis","Table Tennis Men's Team",,"El-Sayed Aboumedan",M
MLI,"Table Tennis","Table Tennis Women's Singles",,"Sdonoud Janvier Abouta",M
EGY,"Table Tennis","Table Tennis Women's Team",,"Mohamed Mohamed Mohamed Aboutrika",M
AFG,Taekwondo,"Taekwondo Men's Featherweight",,"Ahmad Shah Abouwi",M
NGR,Taekwondo,"Taekwondo Men's Flyweight",,"Adeola Aboyade-Cole",M
USA,Taekwondo,"Taekwondo Men's Heavyweight",,"Cheryl Abplanalp",F
GER,Taekwondo,"Taekwondo Men's Welterweight",,"Alexander "Alex" Abraham (Steglitz)",M
ROU,Taekwondo,"Taekwondo Women's Featherweight",,"Andrei Abraham",M
ROU,Taekwondo,"Taekwondo Women's Featherweight",,"Andrei Abraham",M
ROU,Taekwondo,"Taekwondo Women's Featherweight",,"Andrei Abraham",M
ROU,Taekwondo,"Taekwondo Women's Featherweight",,"Andrei Abraham",M
ROU,Taekwondo,"Taekwondo Women's Featherweight",,"Andrei Abraham",M
ROU,Taekwondo,"Taekwondo Women's Featherweight",,"Andrei Abraham",M
ROU,Taekwondo,"Taekwondo Women's Featherweight",,"Andrei Abraham",M
ROU,Taekwondo,"Taekwondo Women's Featherweight",,"Andrei Abraham",M
GBR,Taekwondo,"Taekwondo Women's Welterweight",,"Gary Abraham",M
GBR,Taekwondo,"Taekwondo Women's Welterweight",,"Gary Abraham",M
GBR,Taekwondo,"Taekwondo Women's Welterweight",,"Gary Abraham",M
GBR,Taekwondo,"Taekwondo Women's Welterweight",,"Gary Abraham",M
CHI,Tennis,"Tennis Men's Doubles",,"Melita Isidora Abraham Schssler",F
SUI,Tennis,"Tennis Men's Doubles, Covered Courts",,"Tadesse Abraham",M
IND,Tennis,"Tennis Men's Singles",,"Shiny Kurisingal Abraham-Wilson",F
IND,Tennis,"Tennis Men's Singles",,"Shiny Kurisingal Abraham-Wilson",F
IND,Tennis,"Tennis Men's Singles",,"Shiny Kurisingal Abraham-Wilson",F
IND,Tennis,"Tennis Men's Singles",,"Shiny Kurisingal Abraham-Wilson",F
IND,Tennis,"Tennis Men's Singles",,"Shiny Kurisingal Abraham-Wilson",F
IND,Tennis,"Tennis Men's Singles",,"Shiny Kurisingal Abraham-Wilson",F
POL,Tennis,"Tennis Men's Singles, Covered Courts",,"Mariola Teresa Abrahamczyk (-Fronckowiak)",F
SWE,Tennis,"Tennis Mixed Doubles",,"Ara Abrahamian",M
SWE,Tennis,"Tennis Mixed Doubles",,"Ara Abrahamian",M
FRA,Tennis,"Tennis Mixed Doubles, Covered Courts",,"Stphan Abrahamian Gonzalez",M
RSA,Tennis,"Tennis Women's Doubles",,"Clyde Abrahams",M
CRC,Tennis,"Tennis Women's Singles",,"Glen Abrahams Martnez",M
CRC,Tennis,"Tennis Women's Singles",,"Glen Abrahams Martnez",M
PAN,Tennis,"Tennis Women's Singles, Covered Courts",,"Guy A. Abrahams",M
PAN,Tennis,"Tennis Women's Singles, Covered Courts",,"Guy A. Abrahams",M
GBR,Trampolining,"Trampolining Men's Individual",,"Harold Maurice Abrahams",M
GBR,Trampolining,"Trampolining Men's Individual",,"Harold Maurice Abrahams",M
GBR,Trampolining,"Trampolining Men's Individual",,"Harold Maurice Abrahams",M
GBR,Trampolining,"Trampolining Men's Individual",,"Harold Maurice Abrahams",M
GBR,Trampolining,"Trampolining Men's Individual",,"Harold Maurice Abrahams",M
GBR,Trampolining,"Trampolining Women's Individual",,"Sidney Solomon Abrahams",M
USA,Volleyball,"Volleyball Men's Volleyball",,"Donald Robert Abrahamson, Jr.",M
USA,Volleyball,"Volleyball Women's Volleyball",,"Richard Neal Abrahamson",M
USA,Volleyball,"Volleyball Women's Volleyball",,"Richard Neal Abrahamson",M
SWE,Weightlifting,"Weightlifting Men's All-Around Dumbbell Contest",,"Karl Gran Abrahamsson",M
SWE,Weightlifting,"Weightlifting Men's All-Around Dumbbell Contest",,"Karl Gran Abrahamsson",M
SWE,Weightlifting,"Weightlifting Men's All-Around Dumbbell Contest",,"Karl Gran Abrahamsson",M
SWE,Weightlifting,"Weightlifting Men's All-Around Dumbbell Contest",,"Karl Gran Abrahamsson",M
SWE,Weightlifting,"Weightlifting Men's All-Around Dumbbell Contest",,"Karl Gran Abrahamsson",M
USA,Weightlifting,"Weightlifting Men's Flyweight",,"Fletcher Abram, Jr.",M
BLR,Weightlifting,"Weightlifting Men's Heavyweight I",,"Yelena Vasilyevna Abramchuk (Kopets-)",F
MAR,Weightlifting,"Weightlifting Men's Lightweight",,"Lahcen Abrami",M
GEO,Weightlifting,"Weightlifting Men's Middle-Heavyweight",,"Ek'aterina Abramia",F
SLO,Weightlifting,"Weightlifting Men's Middleweight",,"Jernej Abrami",M
URS,Weightlifting,"Weightlifting Men's Unlimited, Two Hands",,"Andrey Vasilyevich Abramov",M
RUS,Weightlifting,"Weightlifting Women's Featherweight",,"Andrey Viktorovich Abramov",M
RUS,Weightlifting,"Weightlifting Women's Featherweight",,"Andrey Viktorovich Abramov",M
URS,Weightlifting,"Weightlifting Women's Flyweight",,"Nikolay Kuzmich Abramov",M
URS,Weightlifting,"Weightlifting Women's Lightweight",,"Valery Aleksandrovich Abramov",M
URS,Weightlifting,"Weightlifting Women's Middleweight",,"Inna Vladimirovna Abramova",F
URS,Weightlifting,"Weightlifting Women's Middleweight",,"Inna Vladimirovna Abramova",F
GUY,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",,"Aliyah Abrams",F
GUY,Wrestling,"Wrestling Men's Flyweight, Freestyle",,"Colin Winston Abrams",M
NZL,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",,"John Charles Abrams",M
NZL,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",,"John Charles Abrams",M
GEO,Wrestling,"Wrestling Men's Heavyweight, Freestyle",,"Benik Abramyan",M
POR,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",,"Antnio da Cunha Meneses Martins Abrantes",M
POR,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",,"Antnio da Cunha Meneses Martins Abrantes",M
POR,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",,"Antnio da Cunha Meneses Martins Abrantes",M
POR,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",,"Antnio da Cunha Meneses Martins Abrantes",M
POR,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",,"Arnaldo Lus Isaas Abrantes",M
POR,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",,"Arnaldo Lus Isaas Abrantes",M
POR,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",,"Arnaldo Joaquim Castro Abrantes",M
FRA,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",,"David Abrard",M
SUI,Wrestling,"Wrestling Men's Lightweight, Freestyle",,"Amir Abrashi",M
POR,Wrestling,"Wrestling Men's Middleweight B, Greco-Roman",,"Diogo Ferreira Tribolet de Abreu",M
CUB,Wrestling,"Wrestling Men's Middleweight, Freestyle",,"Eloy Abreu Morales",M
BRA,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",,"Glauclio Serro Abreu",M
POR,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",,"Jos Filipe Abreu",M
POR,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",,"Jos Filipe Abreu",M
POR,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",,"Jos Filipe Abreu",M
POR,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",,"Jos Filipe Abreu",M
POR,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",,"Jos Filipe Abreu",M
POR,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",,"Jos Filipe Abreu",M
POR,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",,"Jos Filipe Abreu",M
PAR,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",,"Emilio Julio Abreu",M
PAR,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",,"Emilio Julio Abreu",M
PAR,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",,"Emilio Julio Abreu",M
ANG,Wrestling,"Wrestling Men's Welterweight, Freestyle",,"Morais Santos Abreu",M
BRA,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",,"Paulo Francisco Joazeiro de Abreu",M
CUB,Wrestling,"Wrestling Women's Featherweight, Freestyle",,"Pedro Abreu Pascal",M
VEN,Wrestling,"Wrestling Women's Flyweight, Freestyle",,"Rubn Abreu Rivero",M
POR,Wrestling,"Wrestling Women's Heavyweight, Freestyle",,"Rui Pinto de Abreu",M
POR,Wrestling,"Wrestling Women's Heavyweight, Freestyle",,"Rui Pinto de Abreu",M
POR,Wrestling,"Wrestling Women's Heavyweight, Freestyle",,"Rui Pinto de Abreu",M
POR,Wrestling,"Wrestling Women's Heavyweight, Freestyle",,"Rui Pinto de Abreu",M
POR,Wrestling,"Wrestling Women's Heavyweight, Freestyle",,"Rui Pinto de Abreu",M
FRA,Wrestling,"Wrestling Women's Light-Heavyweight, Freestyle",,"Franck Abrial",M
COL,Wrestling,"Wrestling Women's Lightweight, Freestyle",,"rika Abril Surez",F
COL,Wrestling,"Wrestling Women's Lightweight, Freestyle",,"rika Abril Surez",F
COL,Wrestling,"Wrestling Women's Middleweight, Freestyle",,"Laura Valentina Abril Restrepo",F
