Athlete_ID,event_anzahl,name,sex,Goldmedallien,Silbermedallien,Bronzemmedallien
99778,2,"Heidemarie "Heidi" Reineck",F,0,0,3
100141,3,"Michael Reusch",M,1,4,0
102563,3,"Iain Murray Rose",M,4,1,1
102672,4,"Massimiliano Edgar Rosolino",M,1,1,2
105305,4,"Kaitlin Shea Sandeno (-Hogan)",F,1,1,2
105681,2,"Salvatore Sanzo",M,1,1,2
106300,2,"Amarilys Savn Carmenate",F,0,0,3
106438,2,"Giovanni Scalzo",M,1,1,2
106683,2,"Robert Scheidt",M,2,2,1
106719,2,"Norbert "Norb" Schemansky",M,1,1,2
106938,3,"Melanie Rene "Mel" Schlanger (-Wright)",F,2,2,1
107383,6,"Donald Arthur "Don" Schollander",M,7,1,0
107838,2,"Ildik Schwarczenberger-Tordasi (-Kovcs)",F,1,1,2
109562,2,"Sheng Zetian",M,0,0,3
110099,2,"Andrey Mikhaylovich Shuvalov",M,0,0,3
110228,2,"Viktor Aleksandrovich Sidyak",M,4,1,1
112055,2,"Kathryn Jane "Kathy" Smallwood-Cook",F,0,0,3
112550,2,"Doina Liliana Snep-Blan",F,0,3,1
112646,2,"Rishod Rashidovich Sobirov",M,0,0,3
113169,3,"Rebecca Soni",F,3,3,0
115133,3,"Charles Edward Stewart",M,0,0,3
117843,2,"Robert Blyth Tait",M,1,1,2
118133,2,"Jared Tallent",M,0,3,1
118160,2,"Bernard Grard Talvard",M,0,0,3
118890,3,"Henry Taylor",M,3,0,2
121997,2,"Christian-Alexander Trger",M,0,0,3
125745,2,"Magdalena Johanna Maria "Marleen" Veldhuis",F,1,1,2
127349,5,"Johan Hbner von Holst",M,2,2,1
127506,4,"Zinaida Borisovna Voronina (Druzhinina-)",F,1,1,2
127923,3,"Katrin Wagner-Augustin",F,4,1,1
129402,2,"Amanda Jo Weir (-Davis)",F,0,3,1
130964,3,"Robert George "Bob" Windle",M,1,1,2
131459,3,"Allan Frederick Wood",M,0,0,3
131538,2,"Dean Anthony Woods",M,1,1,2
134951,2,"Marian Zieliski",M,0,0,3
134980,4,"Leontine Martha Henrica Petronella "Leontien" Zijlaard-van Moorsel",F,4,1,1
121236,4,"Gwendolyn Lenna "Gwen" Torrence (-Waller, -Smith)",F,3,1,1
121488,2,"Arnaud Pierre Armand Tournant",M,1,2,1
121786,3,"Birgit Treiber (-Beinroth)",F,1,2,1
121830,3,"Pierre Trentin",M,2,0,2
122302,2,"Konstantinos "Kostas" Tsiklitiras",M,1,2,1
123534,2,"Marius Daniel Urzic",M,1,2,1
124694,6,"Gerard Theodor Hubert Van Innis",M,4,2,0
124716,2,"Adam Joseph Van Koeverden",M,1,2,1
125083,3,"Peter William Vanderkaay",M,2,0,2
126091,2,"Aurel Vernescu",M,0,1,2
126145,3,"Anna Maria Theodora Petra "Annemarie" Verstappen (-Janssen)",F,0,1,2
127106,3,"Emil Alwell Voigt",M,0,1,2
127173,3,"Sandra Vlker",F,0,1,2
127188,2,"Dmitry Arkadyevich Volkov",M,0,1,2
128367,2,"Getenesh "Gete" Wami Degife",F,0,1,2
128456,2,"Wang Hao",M,2,3,0
128520,3,"Wang Liqin",M,2,0,2
129469,4,"Peter Johann "Johnny" Weissmuller",M,5,0,1
129508,2,"Ronny Weller",M,1,2,1
130059,3,"Malvin Groston "Mal" Whitfield",M,3,1,1
130218,4,"Frank Wiegand",M,0,4,0
130671,2,"Shericka Nicola Williams",F,0,1,2
132045,3,"Xiong Ni",M,3,1,1
133592,2,"Olga Sergeyevna Zabelinskaya (Sukhoruchenkova-)",F,0,1,2
133685,2,"Mariel Leigh Zagunis",F,2,0,2
133993,2,"Oswald Zappelli",M,0,1,2
135269,3,"Zou Kai",M,5,0,1
980,2,"Rebecca "Becky" Adlington",F,2,0,2
1192,2,"Carlo Agostoni Faini",M,1,2,1
1569,2,"Kriss Kezie Uche Chukwu Duru Akabusi",M,0,1,2
4613,3,"Nataliya Nikolayevna Antyukh",F,1,2,1
7038,3,"Walter Thane Baker",M,1,2,1
7280,2,"James Allan "Jimmy" Ball",M,0,1,2
8051,2,"Bronte Amelia Arnold Barratt",F,1,2,1
8330,2,"Gregory Mark "Greg" Barton",M,2,0,2
9750,3,"Mireia Belmonte Garca",F,1,2,1
10157,3,"Robert Earl "Bob" Bennett",M,2,0,2
12382,3,"Kay Bluhm",M,3,1,1
12636,2,"Andrea Bod-Molnr",F,1,2,1
12762,4,"Svetlana Leonidovna Boginskaya",F,3,1,1
13029,3,"Usain St. Leo Bolt",M,8,0,0
13401,3,"Katrin Borchert",F,0,1,2
13708,2,"Eva Boskov-Vchtov (-Hlavkov)",F,1,2,1
14106,2,"Mickal Stphane Bourgain",M,0,1,2
14889,2,"Christina Brehmer-Lathan",F,1,2,1
17260,3,"Ettore Caffaratti",M,0,1,2
17487,3,"Novella Calligaris",F,0,1,2
18255,5,"Gustaf Eric Carlberg",M,2,3,0
18665,3,"Nathaniel John "Nate" Cartmell",M,1,2,1
18828,3,"Erwin Casmir",M,0,1,2
20217,2,"Chen Jing",F,1,2,1
20525,2,"Vivian Jepkemoi Cheruiyot",F,1,2,1
22347,2,"Georgia V. Coleman (-Gilson)",F,1,2,1
22867,2,"Althea Kristina "Tina" Cook (Gifford-)",F,0,1,2
23085,2,"Giancarlo Cornaggia-Medici Peterbelli",M,3,1,1
23868,3,"Ian Lowell Crocker",M,3,1,1
24124,2,"Ferenc Csipes",M,1,2,1
25098,2,"Georgeta Damian-Andrunache",F,5,0,1
26135,3,"Andre De Grasse",M,0,1,2
27258,2,"Giuseppe Delfino",M,4,2,0
28781,3,"Andreas Dittmer",M,3,1,1
28925,2,"Christian Marie Auguste d'Oriola",M,4,2,0
29627,2,"Josef Dostl",M,0,1,2
29890,3,"Marian Drgulescu",M,0,1,2
29925,2,"Georges Dransart",M,0,1,2
32369,4,"Kathleen "Kathy" Ellis (-Landgraf, -Greer)",F,2,0,2
32407,3,"Brittany Joyce Elmslie",F,2,3,0
33770,2,"Thomas Fahrner",M,0,1,2
35398,2,"Conrad Francis "Conn" Findlay",M,2,0,2
36785,5,"Melissa Jeanette "Missy" Franklin",F,5,0,1
36933,2,"Frank "Frankie" Fredericks",M,0,4,0
37048,2,"Meike Freitag",F,0,1,2
38078,2,"Michael Riley "Mickey" Galitzen",M,1,2,1
38252,2,"Mohamad Tlili ben Abdallah Gammoudi",M,1,2,1
39076,4,"Lucien Alphonse Paul Gaudin",M,4,2,0
39666,3,"va Grard-Novk",F,1,2,1
39854,3,"Vanya Atanasova Gesheva (-Tsvetkova)",F,1,2,1
41713,4,"Leo Joseph "Budd" Goodwin",M,2,0,2
41898,2,"Galina Yevgenyevna Gorokhova",F,3,1,1
42065,5,"Shane Elizabeth Gould (-Innis, -Nelms)",F,3,1,1
42735,2,"Elvis Gregory Gil",M,0,1,2
42803,3,"Matthew "Matt" Grevers",M,4,2,0
43038,4,"Eugne Franois Grisot",M,1,2,1
43965,2,"Guo Jingjing",F,4,2,0
43986,3,"Guo Yue",F,2,0,2
44211,3,"August Gttinger",M,2,0,2
45009,4,"Gary Wayne Hall, Sr.",M,1,2,1
45332,2,"Sarah Kathryn Hammer (-Sparks)",F,0,4,0
46050,2,"Ingrid Roelinda Haringa",F,0,1,2
46099,2,"Curtis Melvin "Curt" Harnett",M,0,1,2
46638,2,"Gregory "Greg" Haughton",M,0,1,2
47643,5,"Jan Margo Henne (-Hawkins)",F,3,1,1
48476,2,"Alphonse Higelin (Hglin-)",M,0,1,2
49104,3,"Kathryn Elise "Katie" Hoff (-Anderson)",F,0,1,2
49229,3,"William Peter "Bill" Hogenson",M,0,1,2
49450,3,"Tore Anton Holm",M,2,0,2
50383,4,"Christopher Andrew "Chris" Hoy",M,6,1,0
50918,5,"Veikko Aarne Aleks Huhtanen",M,3,1,1
51438,3,"Dorothy Hyman",F,0,1,2
51912,3,"Leonid Georgiyevich Ilyichov",M,0,1,2
52336,2,"Eko Yuli Irawan",M,0,1,2
52994,3,"Sandra Raluca Izbaa",F,2,0,2
53228,2,"Sada Molly Jacobson (-Bby)",F,0,1,2
54882,2,"Jin Jong-O",M,4,2,0
